profile_type,income,expenses,savings,loan_emi,income_variability,savings_rate,expense_ratio,debt_to_income,runway_months,financial_goal,goal_amount,goal_months,risk_level,recommendation_category
Consultant,69621.0,40320,141024,26549,18.98,4.0,57.9,38.1,5.4,Business Expansion,500000,24,Low,Stable Income
Seasonal business owner,61133.0,25992,172341,17519,69.27,28.8,42.5,28.7,8.2,Child Education,75000,24,Medium,Highly Variable Income
Self-employed person,25026.0,17732,117624,8540,17.45,0.0,70.9,34.1,9.0,Home Downpayment,75000,24,High,Financial Risk
Freelancer,37947.0,19687,122720,10580,26.74,20.2,51.9,27.9,8.3,Retirement Reserve,500000,12,Low,Moderately Variable Income
Daily wage worker,20355.0,16176,15547,7831,49.53,0.0,79.5,38.5,1.4,Retirement Reserve,30000,36,High,Financial Risk
Small business owner,18851.0,31852,28048,6074,64.74,0.0,169.0,32.2,1.3,Emergency Fund,30000,36,High,Financial Risk
Gig worker,20386.0,21935,24524,2486,37.66,0.0,107.6,12.2,1.6,Working Capital Buffer,500000,24,High,Financial Risk
Self-employed person,22287.0,22447,92720,7125,36.85,0.0,100.7,32.0,5.9,Retirement Reserve,250000,6,High,Financial Risk
Shop owner,41165.0,27620,157121,14675,38.76,0.0,67.1,35.6,8.7,Business Expansion,150000,18,High,Financial Risk
Shop owner,34954.0,25460,20667,6395,29.47,8.9,72.8,18.3,1.3,Child Education,250000,36,Medium,Moderately Variable Income
Small business owner,55176.0,19971,116860,0,31.01,63.8,36.2,0.0,6.9,Working Capital Buffer,100000,18,Low,Moderately Variable Income
Shop owner,27187.0,17957,18463,9765,24.38,0.0,66.0,35.9,1.2,Child Education,100000,6,High,Financial Risk
Online seller,32545.0,38041,305456,0,79.63,0.0,116.9,0.0,12.2,Child Education,250000,24,High,Financial Risk
Gig worker,19370.0,20255,124932,1877,25.3,0.0,104.6,9.7,8.4,Emergency Fund,50000,24,High,Financial Risk
Consultant,101219.0,27676,213770,30658,34.69,42.4,27.3,30.3,9.9,Working Capital Buffer,30000,36,Medium,Highly Variable Income
Small business owner,40850.0,25409,57431,5235,23.9,25.0,62.2,12.8,3.0,Debt Repayment,150000,18,Low,Moderately Variable Income
Freelancer,46633.0,22903,119412,18218,69.65,11.8,49.1,39.1,8.0,Business Expansion,250000,36,Medium,Highly Variable Income
Small business owner,34142.0,22418,88917,6227,25.83,16.1,65.7,18.2,5.5,Working Capital Buffer,30000,36,Low,Moderately Variable Income
Freelancer,53608.0,18550,103428,20500,57.39,27.2,34.6,38.2,7.4,Retirement Reserve,75000,18,Medium,Highly Variable Income
Shop owner,31126.0,17069,13802,2763,11.73,36.3,54.8,8.9,1.0,Business Expansion,50000,36,Medium,Stable Income
Freelancer,40495.0,22077,86947,11967,49.58,15.9,54.5,29.6,4.6,Retirement Reserve,250000,24,Medium,Highly Variable Income
Small business owner,36120.0,31757,155992,0,14.13,12.1,87.9,0.0,7.3,Home Downpayment,75000,12,Low,Stable Income
Commission-based worker,50460.0,24072,250994,0,62.37,52.3,47.7,0.0,16.0,Debt Repayment,100000,36,Medium,Highly Variable Income
Self-employed person,29509.0,28028,46041,7680,15.94,0.0,95.0,26.0,2.2,Home Downpayment,30000,12,High,Financial Risk
Shop owner,49189.0,14015,30278,9013,44.15,53.2,28.5,18.3,2.5,Business Expansion,100000,6,High,Highly Variable Income
Freelancer,36511.0,24870,20953,8248,60.25,9.3,68.1,22.6,1.1,Retirement Reserve,30000,6,High,Highly Variable Income
Small business owner,62435.0,25440,129160,14592,33.71,35.9,40.7,23.4,6.4,Child Education,250000,24,Low,Moderately Variable Income
Commission-based worker,25304.0,21259,9836,0,63.83,16.0,84.0,0.0,0.6,Child Education,150000,24,High,Financial Risk
Online seller,70497.0,26410,197044,20000,37.66,34.2,37.5,28.4,10.8,Debt Repayment,75000,6,Low,Moderately Variable Income
Daily wage worker,9446.0,12988,113925,0,55.43,0.0,137.5,0.0,13.2,Debt Repayment,150000,6,High,Financial Risk
Seasonal business owner,107779.0,31454,64014,22683,20.42,49.8,29.2,21.0,2.5,Retirement Reserve,100000,18,Low,Stable Income
Online seller,36481.0,29685,237687,12379,60.23,0.0,81.4,33.9,10.6,Emergency Fund,100000,36,High,Financial Risk
Consultant,101969.0,29640,121286,39850,20.26,31.9,29.1,39.1,5.5,Debt Repayment,50000,18,Low,Stable Income
Shop owner,43769.0,22092,222041,0,13.47,49.5,50.5,0.0,14.6,Business Expansion,30000,18,Low,Stable Income
Online seller,87351.0,26583,131249,0,55.7,69.6,30.4,0.0,6.7,Working Capital Buffer,50000,36,Medium,Highly Variable Income
Freelancer,29239.0,23258,46678,8354,35.98,0.0,79.5,28.6,2.7,Home Downpayment,30000,18,High,Financial Risk
Commission-based worker,24451.0,21546,12681,3390,18.07,0.0,88.1,13.9,0.8,Business Expansion,50000,18,High,Financial Risk
Small business owner,45953.0,32543,27426,14738,38.41,0.0,70.8,32.1,1.2,Child Education,250000,12,High,Financial Risk
Seasonal business owner,79816.0,32552,32592,26639,75.74,25.8,40.8,33.4,1.3,Home Downpayment,150000,24,High,Highly Variable Income
Commission-based worker,22575.0,24050,23111,5874,26.61,0.0,106.5,26.0,1.3,Debt Repayment,250000,24,High,Financial Risk
Freelancer,42308.0,29421,55517,0,62.16,30.5,69.5,0.0,2.9,Debt Repayment,50000,24,High,Highly Variable Income
Small business owner,51345.0,24203,74448,0,34.99,52.9,47.1,0.0,3.7,Child Education,250000,18,Low,Moderately Variable Income
Small business owner,29046.0,30463,24380,6929,27.41,0.0,104.9,23.9,1.1,Home Downpayment,75000,6,High,Financial Risk
Gig worker,20752.0,17380,86909,0,18.56,16.3,83.7,0.0,6.6,Working Capital Buffer,150000,36,Low,Stable Income
Online seller,64946.0,35880,329369,17530,13.31,17.8,55.2,27.0,13.4,Debt Repayment,150000,12,Low,Stable Income
Small business owner,23866.0,32457,72642,0,30.48,0.0,136.0,0.0,3.2,Child Education,50000,12,High,Financial Risk
Freelancer,68464.0,17570,49971,18703,44.97,47.0,25.7,27.3,3.6,Working Capital Buffer,50000,24,Medium,Highly Variable Income
Online seller,66222.0,33892,18750,14708,16.82,26.6,51.2,22.2,0.8,Working Capital Buffer,75000,6,High,Financial Risk
Shop owner,39931.0,27809,28992,14346,20.62,0.0,69.6,35.9,1.6,Business Expansion,100000,36,High,Financial Risk
Small business owner,36107.0,30298,50538,11540,29.52,0.0,83.9,32.0,2.4,Business Expansion,100000,36,High,Financial Risk
Freelancer,45076.0,19345,97399,0,42.2,57.1,42.9,0.0,6.0,Retirement Reserve,75000,36,Medium,Highly Variable Income
Commission-based worker,17169.0,17894,41395,6332,42.11,0.0,104.2,36.9,2.9,Emergency Fund,50000,12,High,Financial Risk
Online seller,45179.0,27104,85944,4950,67.96,29.1,60.0,11.0,4.2,Retirement Reserve,30000,6,Medium,Highly Variable Income
Online seller,97440.0,34959,57468,11446,31.04,52.4,35.9,11.7,2.3,Debt Repayment,250000,36,Medium,Moderately Variable Income
Online seller,45518.0,34407,71752,11316,35.46,0.0,75.6,24.9,2.8,Business Expansion,30000,24,High,Financial Risk
Shop owner,66577.0,20517,81942,25418,32.55,31.0,30.8,38.2,5.1,Debt Repayment,100000,12,Low,Moderately Variable Income
Gig worker,45544.0,19220,37104,11285,22.75,33.0,42.2,24.8,2.6,Working Capital Buffer,150000,36,Medium,Moderately Variable Income
Commission-based worker,32410.0,19366,78851,10620,18.0,7.5,59.8,32.8,5.6,Working Capital Buffer,30000,12,Low,Stable Income
Gig worker,11240.0,16316,107814,3188,11.93,0.0,145.2,28.4,9.4,Debt Repayment,30000,12,High,Financial Risk
Consultant,81964.0,27841,48149,8624,31.7,55.5,34.0,10.5,2.0,Child Education,50000,18,Medium,Moderately Variable Income
Shop owner,42623.0,17669,87033,5358,36.76,46.0,41.5,12.6,5.9,Emergency Fund,500000,24,Low,Moderately Variable Income
Small business owner,54060.0,18473,140715,8891,45.33,49.4,34.2,16.4,8.9,Business Expansion,150000,6,Medium,Highly Variable Income
Self-employed person,54670.0,21136,205553,17073,27.16,30.1,38.7,31.2,13.9,Working Capital Buffer,500000,6,Low,Moderately Variable Income
Shop owner,47999.0,19680,40654,9912,37.19,38.3,41.0,20.7,3.0,Business Expansion,250000,12,Low,Moderately Variable Income
Freelancer,66799.0,25111,262360,0,50.21,62.4,37.6,0.0,14.3,Working Capital Buffer,75000,6,Medium,Highly Variable Income
Small business owner,34762.0,23134,50255,10783,28.48,2.4,66.5,31.0,3.2,Business Expansion,30000,6,Low,Moderately Variable Income
Commission-based worker,38702.0,20951,153726,4306,54.03,34.7,54.1,11.1,10.5,Child Education,100000,18,Medium,Highly Variable Income
Commission-based worker,31043.0,19006,92904,0,51.74,38.8,61.2,0.0,6.0,Child Education,30000,24,Medium,Highly Variable Income
Daily wage worker,19242.0,12739,13379,2775,51.57,19.4,66.2,14.4,1.6,Working Capital Buffer,50000,18,High,Highly Variable Income
Shop owner,21346.0,15603,6446,8233,24.54,0.0,73.1,38.6,0.5,Retirement Reserve,100000,6,High,Financial Risk
Daily wage worker,15285.0,9030,15030,2501,29.79,24.6,59.1,16.4,1.9,Child Education,250000,18,Medium,Moderately Variable Income
Freelancer,37678.0,22327,77583,0,26.87,40.7,59.3,0.0,4.5,Emergency Fund,150000,36,Low,Moderately Variable Income
Freelancer,69921.0,26623,216696,9979,18.41,47.7,38.1,14.3,12.1,Emergency Fund,30000,12,Low,Stable Income
Shop owner,39959.0,18188,8121,8933,29.68,32.1,45.5,22.4,0.5,Debt Repayment,30000,6,High,Financial Risk
Gig worker,25866.0,18006,57449,3867,32.58,15.4,69.6,15.0,4.6,Home Downpayment,75000,36,Low,Moderately Variable Income
Commission-based worker,20288.0,24650,176747,4187,56.76,0.0,121.5,20.6,10.6,Retirement Reserve,500000,18,High,Financial Risk
Online seller,66750.0,31576,158211,0,31.45,52.7,47.3,0.0,7.5,Working Capital Buffer,50000,6,Medium,Highly Variable Income
Shop owner,45179.0,22528,24521,5557,24.98,37.8,49.9,12.3,1.3,Debt Repayment,75000,36,Medium,Moderately Variable Income
Consultant,98840.0,45517,39162,10534,53.93,43.3,46.1,10.7,1.2,Retirement Reserve,150000,12,High,Highly Variable Income
Freelancer,50235.0,22116,42285,0,75.97,56.0,44.0,0.0,2.4,Working Capital Buffer,100000,12,High,Highly Variable Income
Freelancer,64799.0,24932,86454,0,37.68,61.5,38.5,0.0,5.3,Emergency Fund,75000,24,Low,Moderately Variable Income
Self-employed person,26965.0,16722,18540,10626,34.8,0.0,62.0,39.4,1.3,Working Capital Buffer,100000,18,High,Financial Risk
Freelancer,42539.0,16559,53203,10391,62.48,36.6,38.9,24.4,4.0,Child Education,75000,18,Medium,Highly Variable Income
Gig worker,17064.0,12946,53424,0,30.35,24.1,75.9,0.0,5.6,Retirement Reserve,50000,6,Low,Moderately Variable Income
Shop owner,25942.0,21898,136123,6612,25.32,0.0,84.4,25.5,8.5,Emergency Fund,500000,12,High,Financial Risk
Commission-based worker,32726.0,17455,9370,0,54.0,46.7,53.3,0.0,0.7,Retirement Reserve,50000,6,High,Financial Risk
Gig worker,20437.0,13992,6287,5005,59.44,7.0,68.5,24.5,0.5,Debt Repayment,150000,6,High,Financial Risk
Shop owner,59284.0,16455,158795,0,21.18,72.2,27.8,0.0,12.6,Emergency Fund,30000,18,Low,Stable Income
Seasonal business owner,51064.0,30148,28696,13403,25.93,14.7,59.0,26.2,1.4,Working Capital Buffer,500000,12,Medium,Moderately Variable Income
Consultant,89941.0,32536,101505,0,20.21,63.8,36.2,0.0,4.5,Retirement Reserve,500000,24,Low,Stable Income
Consultant,48940.0,43651,300552,0,23.27,10.8,89.2,0.0,9.7,Home Downpayment,100000,12,Low,Moderately Variable Income
Online seller,52634.0,24985,40452,6736,65.88,39.7,47.5,12.8,1.9,Child Education,250000,6,High,Highly Variable Income
Self-employed person,32042.0,16087,55142,5839,70.29,31.6,50.2,18.2,4.3,Debt Repayment,500000,6,Medium,Highly Variable Income
Self-employed person,28745.0,25710,133808,0,39.97,10.6,89.4,0.0,7.2,Child Education,150000,6,Medium,Highly Variable Income
Consultant,79790.0,33090,30367,19969,27.94,33.5,41.5,25.0,1.1,Business Expansion,75000,6,Medium,Moderately Variable Income
Gig worker,25626.0,14219,117775,6811,39.1,17.9,55.5,26.6,11.9,Debt Repayment,50000,36,Medium,Highly Variable Income
Daily wage worker,15000.0,15351,25255,2173,22.78,0.0,102.3,14.5,2.5,Business Expansion,30000,18,High,Financial Risk
Shop owner,23354.0,15256,155983,2070,16.22,25.8,65.3,8.9,11.9,Working Capital Buffer,150000,12,Low,Stable Income
Consultant,77287.0,32779,176303,0,24.81,57.6,42.4,0.0,7.5,Debt Repayment,250000,36,Low,Moderately Variable Income
Shop owner,36389.0,24729,48682,0,23.74,32.0,68.0,0.0,2.6,Debt Repayment,50000,24,Medium,Moderately Variable Income
Daily wage worker,8611.0,12712,119140,3367,42.22,0.0,147.6,39.1,12.4,Debt Repayment,30000,24,High,Financial Risk
Small business owner,43522.0,30125,171148,9586,80.97,8.8,69.2,22.0,8.0,Home Downpayment,50000,6,Medium,Highly Variable Income
Small business owner,71021.0,34195,127303,11633,50.56,35.5,48.1,16.4,5.7,Business Expansion,100000,36,Medium,Highly Variable Income
Online seller,57240.0,35793,74929,7685,27.59,24.0,62.5,13.4,3.0,Retirement Reserve,250000,18,Low,Moderately Variable Income
Gig worker,12139.0,15388,44064,3876,62.06,0.0,126.8,31.9,4.3,Retirement Reserve,75000,36,High,Financial Risk
Online seller,16761.0,35572,59564,0,46.34,0.0,212.2,0.0,2.5,Emergency Fund,500000,24,High,Financial Risk
Shop owner,19554.0,18711,105105,4485,32.86,0.0,95.7,22.9,7.5,Working Capital Buffer,30000,36,High,Financial Risk
Commission-based worker,19939.0,16873,15325,6358,32.75,0.0,84.6,31.9,1.2,Working Capital Buffer,50000,24,High,Financial Risk
Commission-based worker,18619.0,24077,93569,6854,44.9,0.0,129.3,36.8,5.9,Debt Repayment,30000,6,High,Financial Risk
Shop owner,50185.0,17398,109983,0,13.96,65.3,34.7,0.0,8.0,Business Expansion,500000,24,Low,Stable Income
Seasonal business owner,81692.0,28604,48904,0,77.5,65.0,35.0,0.0,2.6,Home Downpayment,75000,18,High,Highly Variable Income
Freelancer,41047.0,24127,14098,14211,84.92,6.6,58.8,34.6,0.8,Emergency Fund,50000,18,High,Financial Risk
Gig worker,16932.0,18188,71557,0,23.65,0.0,107.4,0.0,6.0,Retirement Reserve,50000,36,High,Financial Risk
Small business owner,11307.0,26735,188352,0,103.5,0.0,236.4,0.0,8.6,Debt Repayment,250000,24,High,Financial Risk
Shop owner,34999.0,21515,25301,9170,25.2,12.3,61.5,26.2,1.7,Business Expansion,100000,6,Medium,Moderately Variable Income
Shop owner,24346.0,23919,79459,5919,16.13,0.0,98.2,24.3,4.4,Child Education,250000,18,High,Financial Risk
Daily wage worker,16418.0,10865,63566,6081,38.73,0.0,66.2,37.0,8.4,Retirement Reserve,30000,36,High,Financial Risk
Shop owner,17309.0,25443,93176,6610,39.46,0.0,147.0,38.2,5.3,Working Capital Buffer,250000,36,High,Financial Risk
Daily wage worker,11060.0,12933,131725,0,57.7,0.0,116.9,0.0,12.3,Emergency Fund,75000,18,High,Financial Risk
Shop owner,30589.0,21198,83803,8114,16.32,4.2,69.3,26.5,5.7,Retirement Reserve,150000,12,Low,Stable Income
Online seller,63936.0,29624,175692,0,48.53,53.7,46.3,0.0,7.5,Debt Repayment,500000,18,Medium,Highly Variable Income
Consultant,82428.0,38881,129285,0,15.93,52.8,47.2,0.0,4.6,Home Downpayment,250000,12,Low,Stable Income
Daily wage worker,22180.0,15457,145002,7920,34.1,0.0,69.7,35.7,13.5,Debt Repayment,50000,24,High,Financial Risk
Seasonal business owner,77638.0,24570,23062,11250,45.59,53.9,31.6,14.5,1.3,Home Downpayment,30000,24,High,Highly Variable Income
Small business owner,33442.0,27596,13078,0,7.8,17.5,82.5,0.0,0.6,Business Expansion,250000,36,High,Financial Risk
Consultant,62708.0,38345,87487,0,20.81,38.9,61.1,0.0,2.8,Retirement Reserve,250000,36,Low,Stable Income
Self-employed person,33887.0,19333,35746,0,25.46,42.9,57.1,0.0,2.5,Retirement Reserve,100000,36,Medium,Moderately Variable Income
Commission-based worker,32905.0,19188,22982,0,32.09,41.7,58.3,0.0,1.4,Debt Repayment,75000,36,Medium,Moderately Variable Income
Consultant,87190.0,38579,207358,13271,21.91,40.5,44.2,15.2,7.0,Business Expansion,50000,24,Low,Stable Income
Online seller,117645.0,35087,15155,0,26.9,70.2,29.8,0.0,0.6,Child Education,50000,24,High,Financial Risk
Commission-based worker,17823.0,19200,159012,0,66.45,0.0,107.7,0.0,11.6,Emergency Fund,150000,36,High,Financial Risk
Small business owner,40728.0,32694,126308,0,46.71,19.7,80.3,0.0,5.9,Home Downpayment,250000,6,Medium,Highly Variable Income
Shop owner,42648.0,20113,73930,4359,22.84,42.6,47.2,10.2,4.3,Child Education,50000,36,Low,Moderately Variable Income
Daily wage worker,18803.0,10435,5958,1834,61.15,34.8,55.5,9.8,0.7,Business Expansion,75000,12,High,Financial Risk
Shop owner,56800.0,17990,19942,0,27.33,68.3,31.7,0.0,1.6,Child Education,50000,36,Medium,Moderately Variable Income
Consultant,107546.0,25520,47082,42546,46.59,36.7,23.7,39.6,2.2,Debt Repayment,250000,12,High,Highly Variable Income
Consultant,112459.0,38761,388025,31319,33.48,37.7,34.5,27.8,13.6,Retirement Reserve,30000,12,Low,Moderately Variable Income
Online seller,40198.0,22748,11226,5626,59.94,29.4,56.6,14.0,0.6,Retirement Reserve,50000,6,High,Financial Risk
Consultant,93648.0,28161,53328,0,18.54,69.9,30.1,0.0,2.3,Business Expansion,30000,24,Low,Stable Income
Shop owner,36748.0,18699,17795,3438,37.45,39.8,50.9,9.4,1.2,Child Education,500000,12,Medium,Moderately Variable Income
Gig worker,18819.0,13116,27359,4023,23.18,8.9,69.7,21.4,2.5,Working Capital Buffer,75000,6,Medium,Moderately Variable Income
Consultant,62442.0,43294,465990,17991,21.23,1.9,69.3,28.8,15.3,Working Capital Buffer,75000,36,Low,Stable Income
Online seller,67607.0,26452,130231,15171,19.75,38.4,39.1,22.4,5.8,Child Education,100000,36,Low,Stable Income
Seasonal business owner,43020.0,24515,196533,0,83.1,43.0,57.0,0.0,11.6,Home Downpayment,50000,6,Medium,Highly Variable Income
Online seller,47685.0,32892,129463,5763,18.54,18.9,69.0,12.1,4.8,Home Downpayment,30000,6,Low,Stable Income
Self-employed person,29737.0,24347,85469,5671,39.66,0.0,81.9,19.1,5.2,Emergency Fund,250000,6,High,Financial Risk
Online seller,69245.0,33387,166893,0,26.9,51.8,48.2,0.0,6.5,Emergency Fund,500000,24,Low,Moderately Variable Income
Freelancer,25718.0,17109,154311,5485,33.93,12.1,66.5,21.3,10.8,Emergency Fund,500000,24,Low,Moderately Variable Income
Gig worker,13559.0,19791,102253,2411,15.48,0.0,146.0,17.8,6.7,Debt Repayment,500000,12,High,Financial Risk
Consultant,62801.0,26014,107672,0,10.85,58.6,41.4,0.0,5.0,Home Downpayment,100000,6,Low,Stable Income
Small business owner,31456.0,22299,47579,9615,58.78,0.0,70.9,30.6,2.8,Home Downpayment,100000,36,High,Financial Risk
Daily wage worker,15121.0,12890,51900,3970,44.18,0.0,85.2,26.3,5.5,Child Education,30000,6,High,Financial Risk
Commission-based worker,59418.0,21285,116223,0,35.43,64.2,35.8,0.0,6.5,Business Expansion,250000,24,Low,Moderately Variable Income
Seasonal business owner,82126.0,27803,50254,0,48.83,66.1,33.9,0.0,2.2,Home Downpayment,500000,18,High,Highly Variable Income
Self-employed person,51086.0,15286,17328,7136,30.87,56.1,29.9,14.0,1.3,Business Expansion,250000,12,Medium,Moderately Variable Income
Self-employed person,47455.0,18957,105714,0,51.44,60.1,39.9,0.0,7.0,Business Expansion,50000,24,Medium,Highly Variable Income
Gig worker,12366.0,18926,122074,0,17.36,0.0,153.0,0.0,8.2,Debt Repayment,150000,24,High,Financial Risk
Daily wage worker,10272.0,15206,8080,0,39.88,0.0,148.0,0.0,0.8,Business Expansion,30000,6,High,Financial Risk
Small business owner,44638.0,24674,84992,0,25.68,44.7,55.3,0.0,4.8,Debt Repayment,250000,18,Low,Moderately Variable Income
Gig worker,9432.0,21076,121058,0,55.2,0.0,223.4,0.0,8.3,Business Expansion,500000,24,High,Financial Risk
Seasonal business owner,77312.0,31304,187419,22094,32.39,30.9,40.5,28.6,8.2,Working Capital Buffer,30000,18,Low,Moderately Variable Income
Daily wage worker,11582.0,12872,5551,3525,39.29,0.0,111.1,30.4,0.5,Working Capital Buffer,50000,36,High,Financial Risk
Freelancer,54259.0,18872,120467,0,49.63,65.2,34.8,0.0,9.0,Child Education,500000,24,Medium,Highly Variable Income
Seasonal business owner,31524.0,25606,154194,9617,72.12,0.0,81.2,30.5,8.3,Home Downpayment,150000,12,High,Financial Risk
Small business owner,51863.0,26023,183885,18301,61.9,14.5,50.2,35.3,9.5,Business Expansion,500000,12,Medium,Highly Variable Income
Shop owner,28731.0,18176,66702,9057,57.62,5.2,63.3,31.5,5.0,Child Education,50000,36,Medium,Highly Variable Income
Online seller,84955.0,25969,131812,18931,43.21,47.1,30.6,22.3,7.1,Debt Repayment,150000,18,Medium,Highly Variable Income
Daily wage worker,6982.0,12698,82961,1438,36.97,0.0,181.9,20.6,9.0,Home Downpayment,100000,6,High,Financial Risk
Consultant,113557.0,27898,105513,21455,21.34,56.5,24.6,18.9,4.4,Business Expansion,250000,24,Low,Stable Income
Seasonal business owner,43864.0,24166,11376,12088,32.6,17.3,55.1,27.6,0.5,Emergency Fund,250000,6,High,Financial Risk
Small business owner,57538.0,25304,21488,14770,23.95,30.4,44.0,25.7,1.1,Business Expansion,30000,36,Medium,Moderately Variable Income
Commission-based worker,35114.0,18981,33027,9455,26.83,19.0,54.1,26.9,2.1,Emergency Fund,500000,6,Medium,Moderately Variable Income
Commission-based worker,27115.0,16742,135175,8872,29.35,5.5,61.7,32.7,9.6,Working Capital Buffer,100000,18,Low,Moderately Variable Income
Daily wage worker,8693.0,12519,61705,1176,28.6,0.0,144.0,13.5,6.7,Retirement Reserve,75000,12,High,Financial Risk
Freelancer,66084.0,19971,17204,0,21.78,69.8,30.2,0.0,1.0,Retirement Reserve,50000,24,Medium,Stable Income
Gig worker,28846.0,17417,15829,8607,28.24,9.8,60.4,29.8,1.2,Child Education,100000,12,Medium,Moderately Variable Income
Freelancer,54982.0,22890,194989,16196,33.6,28.9,41.6,29.5,11.3,Child Education,75000,18,Low,Moderately Variable Income
Daily wage worker,18228.0,13616,27898,5206,86.14,0.0,74.7,28.6,2.7,Home Downpayment,100000,12,High,Financial Risk
Shop owner,63155.0,14979,6699,0,17.57,76.3,23.7,0.0,0.5,Emergency Fund,30000,12,High,Financial Risk
Consultant,92104.0,27370,26316,0,12.27,70.3,29.7,0.0,1.2,Retirement Reserve,75000,24,Medium,Stable Income
Shop owner,16542.0,22031,84893,5885,39.05,0.0,133.2,35.6,4.5,Working Capital Buffer,30000,24,High,Financial Risk
Consultant,87369.0,37184,63141,0,19.87,57.4,42.6,0.0,2.5,Emergency Fund,150000,12,Low,Stable Income
Self-employed person,24451.0,25027,49618,6623,12.49,0.0,102.4,27.1,2.9,Home Downpayment,100000,36,High,Financial Risk
Consultant,132747.0,30451,18049,32588,14.69,52.5,22.9,24.5,0.7,Debt Repayment,150000,24,High,Financial Risk
Freelancer,62619.0,21820,162897,11182,32.55,47.3,34.8,17.9,9.5,Emergency Fund,50000,6,Low,Moderately Variable Income
Commission-based worker,21010.0,17189,16687,7018,73.08,0.0,81.8,33.4,1.5,Emergency Fund,250000,18,High,Financial Risk
Consultant,101553.0,34461,137150,28723,44.31,37.8,33.9,28.3,4.6,Home Downpayment,100000,6,Low,Moderately Variable Income
Small business owner,25578.0,24641,10690,0,48.17,3.7,96.3,0.0,0.6,Home Downpayment,50000,12,High,Financial Risk
Commission-based worker,41508.0,16540,9054,6516,41.76,44.5,39.8,15.7,0.6,Working Capital Buffer,75000,36,High,Financial Risk
Self-employed person,42535.0,22039,112094,7572,30.4,30.4,51.8,17.8,5.9,Working Capital Buffer,75000,24,Low,Moderately Variable Income
Small business owner,31628.0,20539,175272,5654,65.19,17.2,64.9,17.9,9.9,Business Expansion,75000,24,Medium,Highly Variable Income
Small business owner,35191.0,33965,15923,10949,28.94,0.0,96.5,31.1,0.7,Business Expansion,150000,24,High,Financial Risk
Commission-based worker,25812.0,17810,8998,0,53.56,31.0,69.0,0.0,0.8,Child Education,30000,24,High,Financial Risk
Shop owner,37603.0,22110,10985,12233,37.21,8.7,58.8,32.5,0.8,Working Capital Buffer,250000,12,High,Financial Risk
Commission-based worker,27710.0,17978,34420,5829,39.88,14.1,64.9,21.0,2.4,Retirement Reserve,500000,24,High,Highly Variable Income
Small business owner,39032.0,21107,49962,13028,69.0,12.5,54.1,33.4,2.8,Working Capital Buffer,150000,36,High,Highly Variable Income
Seasonal business owner,41641.0,20579,11880,14260,65.04,16.3,49.4,34.2,0.7,Home Downpayment,75000,24,High,Financial Risk
Seasonal business owner,37940.0,29216,53121,4073,83.57,12.3,77.0,10.7,2.4,Child Education,30000,24,High,Highly Variable Income
Commission-based worker,28486.0,25944,220054,6101,59.16,0.0,91.1,21.4,12.3,Working Capital Buffer,250000,6,High,Financial Risk
Commission-based worker,22704.0,23752,220780,4616,25.35,0.0,104.6,20.3,13.9,Retirement Reserve,250000,36,High,Financial Risk
Shop owner,22226.0,25080,157479,6239,34.32,0.0,112.8,28.1,9.0,Child Education,500000,24,High,Financial Risk
Online seller,36903.0,21922,11486,6932,46.17,21.8,59.4,18.8,0.6,Emergency Fund,250000,6,High,Financial Risk
Self-employed person,56094.0,27013,31024,0,13.86,51.8,48.2,0.0,1.5,Child Education,50000,12,Medium,Stable Income
Seasonal business owner,52210.0,25468,12516,0,32.07,51.2,48.8,0.0,0.7,Business Expansion,30000,6,High,Financial Risk
Daily wage worker,8978.0,12962,30969,0,20.7,0.0,144.4,0.0,3.6,Debt Repayment,75000,24,High,Financial Risk
Daily wage worker,10731.0,10036,60324,1861,42.07,0.0,93.5,17.3,7.2,Business Expansion,150000,18,High,Financial Risk
Seasonal business owner,38568.0,28493,62276,11826,41.28,0.0,73.9,30.7,2.5,Working Capital Buffer,30000,12,High,Financial Risk
Seasonal business owner,43914.0,31738,218961,8817,52.73,7.7,72.3,20.1,10.0,Debt Repayment,50000,36,Medium,Highly Variable Income
Daily wage worker,5358.0,10199,10512,1260,67.54,0.0,190.4,23.5,1.5,Business Expansion,50000,24,High,Financial Risk
Consultant,58307.0,29377,102971,0,22.05,49.6,50.4,0.0,4.1,Business Expansion,30000,12,Low,Moderately Variable Income
Shop owner,21142.0,21003,222210,4991,38.29,0.0,99.3,23.6,16.1,Child Education,30000,36,High,Financial Risk
Consultant,114676.0,33269,15353,24654,22.82,49.5,29.0,21.5,0.6,Emergency Fund,30000,6,High,Financial Risk
Freelancer,78724.0,24670,49659,15526,28.31,48.9,31.3,19.7,2.6,Home Downpayment,30000,18,Medium,Moderately Variable Income
Online seller,41971.0,23906,256057,10369,50.97,18.3,57.0,24.7,13.7,Retirement Reserve,30000,12,Medium,Highly Variable Income
Freelancer,26945.0,22968,46730,0,63.73,14.8,85.2,0.0,2.7,Business Expansion,75000,36,High,Highly Variable Income
Self-employed person,43670.0,19905,23388,9908,33.44,31.7,45.6,22.7,1.7,Child Education,50000,12,Medium,Moderately Variable Income
Small business owner,44662.0,26166,107180,6092,30.62,27.8,58.6,13.6,5.0,Debt Repayment,500000,36,Low,Moderately Variable Income
Commission-based worker,50676.0,22162,11852,13679,28.15,29.3,43.7,27.0,0.7,Emergency Fund,250000,24,High,Financial Risk
